name,synonyms
Liver cancer,"['Ca Liver Primary', 'Hepatic Cancer', 'Hepatic Neoplasm', 'Malignant Hepato biliary Neoplasm', 'Malignant Neoplasm Of Liver', 'Malignant Tumor Of Liver', 'Neoplasm Of Liver', 'Non resectable Primary Hepatic Malignant Neoplasm', 'Not Specified As Primary Or Secondary', 'Primary', 'Primary Liver Cancer', 'Primary Malignant Neoplasm Of Liver', 'Resectable Malignant Neoplasm Of Liver', 'Resectable Malignant Neoplasm Of The Liver', 'cancer of liver', 'liver cancer', 'malignant liver neoplasm', 'malignant neoplasm of liver not specified as primary or secondary', 'malignant neoplasm of liver primary', 'malignant tumour of liver', 'primary cancer of liver', 'primary malignant liver neoplasm', 'primary tumor of the liver', 'primary tumour of the liver']"
Lung cancer,"['Nonsmall cell lung cancer', 'adenocarcinoma of lung response to tyrosine kinase inhibitor in autosomal dominant somatic mutation', 'adenocarcinoma of lung somatic', 'alveolar cell carcinoma', 'cancer of lung', 'lung cancer', 'lung cancer protection against', 'lung cancer protection against autosomal dominant somatic mutation', 'lung cancer resistance to autosomal dominant somatic mutation', 'lung cancer somatic', 'lung cancer susceptibility to autosomal dominant somatic mutation', 'lung neoplasm', 'malignant lung neoplasm', 'malignant lung tumor', 'malignant lung tumour', 'malignant neoplasm of lung', 'malignant neoplasm of the lung', 'malignant tumor of lung', 'malignant tumor of the lung', 'malignant tumour of lung', 'malignant tumour of the lung', 'nonsmall cell lung cancer response to tyrosine kinase inhibitor in autosomal dominant somatic mutation', 'nonsmall cell lung cancer somatic', 'nonsmall cell lung cancer susceptibility to autosomal dominant somatic mutation','NSCLC', 'NSCLC non small cell lung cancer', 'Non small Cell Lung Cancer', 'Non small Cell Lung Carcinoma', 'non small cell cancer of lung', 'non small cell cancer of the lung', 'non small cell carcinoma of lung', 'non small cell carcinoma of the lung']"
Lymphoblastic leukemia,"['ALL', 'ALL acute lymphocytic leukaemia', 'ALL acute lymphocytic leukemia', 'Acute Lymphoblastic Leukaemia', 'Acute Lymphocytic Leukaemia', 'Precursor Lymphoblastic Lymphoma/leukemia', 'acute lymphoblastic leukemia', 'acute lymphoblastic leukemia/lymphoma', 'acute lymphocytic leukemia', 'acute lymphocytic leukemias', 'acute lymphogenous leukaemia', 'acute lymphogenous leukemia', 'acute lymphoid leukaemia', 'acute lymphoid leukemia', 'leukemia lymphoblastic malignant', 'lymphoblastic leukaemia', 'lymphoblastic leukemia', 'lymphoblastic leukemia acute', 'precursor Lymphoblasic leukaemia', 'precursor Lymphoblasic leukemia', 'precursor cell lymphoblastic leukaemia', 'precursor cell lymphoblastic leukemia', 'precursor lymphoblastic leukaemia', 'precursor lymphoblastic leukemia']"
Lymphoma,"['Lymphoid Cancer', 'MLYM', 'lymphoma', 'lymphoma malignant', 'lymphomatous', 'malignant lymphoma']"
Medulloblastoma,"['Brain Medulloblastoma', 'CNS PNET', 'CPNET', 'Histologically Defined', 'Infratentorial Primitive Neuroectodermal Tumor', 'Localized Primitive Neuroectodermal Tumor', 'MDB', 'Medulloblastoma', 'cerebellar medulloblastoma', 'cerebellum embryonal neoplasm', 'infratentorial primitive neuroectodermal tumour', 'localised primitive neuroectodermal tumour', 'medulloblastoma autosomal recessive autosomal dominant somatic mutation', 'medulloblastoma desmoplastic', 'medulloblastoma desmoplastic autosomal recessive autosomal dominant somatic mutation', 'medulloblastoma malignant', 'medulloblastoma somatic', 'medulloblastoma with extensive nodularity', 'medulloblastomas']"
Melanoma,"['Malignant Melanoma', 'Naevocarcinoma', 'melanoma', 'melanoma malignant']"
Meningioma,"['Meningeal Neoplasm', 'Meningothelial Cell Tumor', 'Neoplasm Of The Meninges', 'Primary Meningeal Tumor', 'intracranial meningioma', 'meningioma', 'meningothelial cell tumour', 'primary meningeal tumour', 'supratentorial meningioma']"
Merkel cell cancer,"['Merkel cell carcinoma', 'Trabecular Adenocarcinoma', 'Trabecular Carcinoma', 'trabecula adenocarcinoma']"
Mesothelioma,"['Advanced Malignant Mesothelioma Of Peritoneum', 'Advanced Malignant Peritoneal Mesothelioma', 'Malignant Mesothelioma Of Peritoneum', 'advanced malignant mesothelioma of the peritoneum', 'advanced peritoneal malignant mesothelioma', 'diffuse malignant peritoneal mesothelioma', 'malignant peritoneal mesothelioma advanced', 'peritoneal mesothelioma', 'peritoneal mesothelioma malignant', 'peritoneum malignant mesothelioma', 'primary malignant peritoneal mesothelioma']"
Mucinous cancer,"['Mucinous adenocarcinom', 'CEMU', 'Mucin Secreting Adenocarcinoma', 'Mucin Secreting Carcinoma', 'Mucin producing Adenocarcinoma', 'Mucous Carcinoma', 'Pseudomyxoma Peritonei With Unknown Primary Site', 'adenocarcinoma mucinous malignant', 'colloid adenocarcinoma', 'colloid carcinoma', 'gelatinous adenocarcinoma', 'gelatinous carcinoma', 'mucinous adenocarcinoma', 'mucinous carcinoma', 'mucinuos carcinoma', 'mucoid adenocarcinoma', 'mucoid carcinoma', 'mucous adenocarcinoma']"
Mucosal melanoma,['mucosal melanoma']
Myeloid cancer,"['myeloid neoplasm', 'myeloid malignancy', 'myeloid neoplasm', 'myeloid tumor', 'myeloid tumour']"
Myeloproliferative neoplasm,"['CMPD', 'CMPD U', 'Chronic Myeloproliferative Disease', 'MPD', 'MPN', 'chronic myeloproliferative disorder', 'chronic myeloproliferative disorders', 'chronic myeloproliferative neoplasm', 'myeloproliferative disorder', 'myeloproliferative neoplasm', 'myeloproliferative neoplasm chronic', 'myeloproliferative neoplasms', 'myeloproliferative tumor', 'myeloproliferative tumour']"
Myofibroma,"['Lipoleiomyoma', 'infantile hemangiopericytoma', 'myofibroma']"
Neuroblastoma,"['NB', 'neural Crest tumor malignant', 'neuroblastoma', 'neuroblastoma malignant']"
Neuroendocrine cancer,"['Neuroendocrine Tumor', 'APUDoma', 'Neuroendocrine Neoplasm', 'neuroendocrine tumor', 'neuroendocrine tumour']"
Neurofibroma,"['NFIB', 'neurofibroma', 'neurofibroma benign']"
Ocular melanoma,"['Eye Melanoma', 'Intraocular Melanoma', 'Melanoma Of Eye', 'OM', 'eyeball of camera type eye melanoma', 'melanoma of eyeball of camera type eye', 'melanoma of the eye', 'ocular melanoma']"
